timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1623905782717,29,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,26,0,20
1623905782751,3,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,1
1623905782754,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905782757,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905782759,3,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,3,0,1
1623905782762,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,1
1623905782765,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905782767,3,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,3,0,1
1623905782770,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,1
1623905782773,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,1
1623905782776,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905782778,3,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,1
1623905782781,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905782783,3,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,3,0,1
1623905782787,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905782789,3,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,3,0,1
1623905782792,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905782795,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905782797,3,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,3,0,1
1623905782800,3,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,3,0,1
1623905782803,3,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,3,0,1
1623905782806,3,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,3,0,1
1623905782809,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905782812,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905782814,3,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,3,0,1
1623905782817,3,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,3,0,1
1623905782820,3,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,3,0,1
1623905782823,3,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,3,0,1
1623905782826,3,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,1
1623905782829,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905782832,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905782834,3,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,3,0,1
1623905782837,3,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,3,0,1
1623905782840,3,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,3,0,1
1623905782843,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905782846,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905782849,3,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905782852,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905782855,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905782857,3,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,3,0,1
1623905782860,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905782863,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905782865,3,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,3,0,1
1623905782868,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905782871,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905782874,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905782876,3,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,1
1623905782879,3,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905782882,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905782884,3,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,3,0,1
1623905782887,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,1
1623905782890,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
1623905782893,2,Petición HTTP,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,13700,181,1,1,http://localhost:35000/album/index.html,2,0,0
